video_id,publish_time,views
fCTKDn3Q8xQ,2017-11-09T11:24:14.000Z,1098897
DIU3xPdhCBI,2017-11-09T22:26:10.000Z,893462
wnwF1FHybDQ,2017-11-10T11:00:04.000Z,225286
9oFP-pOMNwE,2017-11-09T08:01:40.000Z,264793
pz95u3UVpaM,2017-11-10T05:01:00.000Z,5476737
g5c1bk8weaQ,2017-11-10T03:43:43.000Z,3578502
yuBqWcSKrCk,2017-11-10T14:00:10.000Z,304926
x9mh-SwSKas,2017-11-10T18:42:55.000Z,247319
uiA4B5Y63IQ,2017-11-09T22:00:07.000Z,296434
viyRD5z6ilQ,2017-11-10T05:00:01.000Z,125962
QFfEtKvXMAs,2017-11-10T17:00:05.000Z,419341
xg9ebVTL9yE,2017-11-10T05:00:06.000Z,138988
fbHbTBP_u7U,2017-11-09T05:00:05.000Z,1774018
Ja_GMU7-sjs,2017-11-09T21:18:33.000Z,1575525
QOksZ8VogRw,2017-11-09T17:03:42.000Z,626688
RYs08kX3Ih4,2017-11-10T01:30:00.000Z,219030
tOFkFZbPdnQ,2017-11-09T00:44:51.000Z,493662
dW4wpGg64pE,2017-11-09T18:20:27.000Z,1017803
2VP846QcA_4,2017-11-09T11:30:00.000Z,139955
_dhneCO4YEE,2017-11-09T07:00:01.000Z,362009
EYkEshCOhEU,2017-11-10T00:24:29.000Z,294387
Rq9-mW6HgQE,2017-11-09T08:35:00.000Z,844653
k29YnfttqEU,2017-11-09T04:58:04.000Z,1315873
Eg_kW5fw6qU,2017-11-09T23:27:18.000Z,188003
J_QGZspO4gg,2017-11-09T15:45:05.000Z,1624771
PkRBTF6nt4E,2017-11-10T13:00:02.000Z,125970
ozkqm2ifMw8,2017-11-10T13:24:10.000Z,205869
htvR_dBs3eg,2017-11-10T21:38:57.000Z,98422
qEEtzzi1EII,2017-11-09T13:34:58.000Z,426078
1Wk8ZRgXQnY,2017-11-09T22:27:45.000Z,33315
8l_e6bx8UG8,2017-11-08T17:00:00.000Z,1231518
lsfzA7sWlOM,2017-11-09T19:59:48.000Z,154872
RQDphL2MVlM,2017-11-10T22:22:04.000Z,72626
X7flefV8tec,2017-11-09T02:37:49.000Z,366180
cYw-oyJ7AEY,2017-11-10T08:00:01.000Z,264511
6nJw-jPQYVI,2015-05-21T07:55:00.000Z,192609
5x1FAiIq_pQ,2017-11-09T15:49:21.000Z,95944
LMCuKltaY3M,2017-11-10T08:00:01.000Z,154494
6Detw08jRhs,2017-11-09T18:24:34.000Z,53321
vd4zwINEcLY,2011-03-27T04:31:25.000Z,95085
7fm7mll2qvg,2017-11-10T00:00:00.000Z,91776
5gFpcEKayz4,2017-11-09T09:00:00.000Z,764716
eHIY3HNNqzM,2017-11-10T08:00:03.000Z,135337
q-WipZ9p0wk,2017-11-09T14:00:08.000Z,77630
zy0b9e40tK8,2017-11-09T09:00:07.000Z,378750
rL4WkebTT_U,2017-11-09T15:06:34.000Z,151709
Y6eKxjMA9ek,2017-11-09T16:00:09.000Z,175852
Q6Usd3_fbq8,2017-11-10T04:08:31.000Z,5149
44NYFvhXmW8,2017-11-08T13:00:00.000Z,1905487
9wg3v-01yKQ,2017-11-08T13:00:01.000Z,9632678
F-j_6IuaYfw,2017-11-08T21:05:20.000Z,476389
_qSW96a2aKY,2017-11-08T05:01:25.000Z,754558
afgvlR9WmIQ,2017-11-09T02:21:31.000Z,762616
_CJN_ryETIY,2017-11-09T23:59:08.000Z,199429
P4YJwy_T9pM,2017-11-09T03:16:36.000Z,691229
YqH4eWR7jDQ,2012-06-10T19:24:38.000Z,6412
r96KpNTcog4,2017-11-09T14:00:17.000Z,108618
B4gXsobd_ao,2017-11-09T14:00:01.000Z,79306
x8eLIJAM58M,2017-11-08T14:00:05.000Z,812007
6V_aZsATDsM,2017-11-09T17:22:40.000Z,55398
qg0GdM60syI,2017-03-31T21:46:53.000Z,773
8j_BYfVEyhA,2017-11-08T13:34:23.000Z,581288
9ymjcSvEyhk,2017-11-09T14:00:04.000Z,99619
oB3SAI2oCqk,2017-11-09T09:59:31.000Z,4850
HNa_UWX51_s,2017-11-09T18:46:37.000Z,226088
08nkwgZIE4I,2017-11-08T22:04:53.000Z,651036
5Smb3tZD1Qc,2017-11-08T18:00:00.000Z,451356
YHDbsyyjld0,2017-11-09T23:44:18.000Z,46571
uyl6WtHEYOQ,2017-11-10T20:39:51.000Z,28539
bhoFXkVy8JA,2017-10-13T08:20:03.000Z,12609
_w58R1OGQFA,2017-11-09T15:00:02.000Z,30021
BEweWXa5Twk,2017-11-09T03:27:36.000Z,471266
egXr0PU-kCY,2017-11-08T22:17:37.000Z,1073134
fIQ2Ty2OL34,2017-11-10T04:00:52.000Z,18573
d_j512i2k6c,2017-11-08T20:30:01.000Z,250193
4d07RXYLsJE,2017-11-04T20:48:16.000Z,1827
DOIw62TXYkg,2017-11-07T19:22:49.000Z,2457408
0lbJHqAGpbA,2017-11-09T16:53:13.000Z,51143
JuP1Z8xpRb8,2017-11-09T17:01:01.000Z,27010
CR9zYgr84QY,2017-11-09T18:30:01.000Z,122669
1640fZpYBSY,2017-11-07T18:54:39.000Z,358597
M2-IpsWQUWs,2017-11-09T19:11:16.000Z,56012
7m630xvAJtA,2017-11-09T16:33:02.000Z,6148
510KQ_LXGww,2017-11-08T18:24:16.000Z,1390440
CO9dIyNM_9Q,2017-11-07T22:59:49.000Z,244532
hX643KbiI4s,2017-11-08T21:50:37.000Z,82087
mwpHSMv1pI4,2017-11-09T01:27:53.000Z,359120
