video_id,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed
sbcbvuitiTc,2017,2425,1447,https://i.ytimg.com/vi/sbcbvuitiTc/default.jpg,FALSE,FALSE,FALSE
zNqCVTs38nU,35,18,19,https://i.ytimg.com/vi/zNqCVTs38nU/default.jpg,FALSE,FALSE,FALSE
DM-ni_LSOFE,45406,2842,8309,https://i.ytimg.com/vi/DM-ni_LSOFE/default.jpg,FALSE,FALSE,FALSE
0PpNlNJ6Nng,99086,1339,11800,https://i.ytimg.com/vi/0PpNlNJ6Nng/default.jpg,FALSE,FALSE,FALSE
c-3JxzN2u34,205,6,15,https://i.ytimg.com/vi/c-3JxzN2u34/default.jpg,FALSE,FALSE,FALSE
069D0NmW39o,15397,838,1100,https://i.ytimg.com/vi/069D0NmW39o/default.jpg,FALSE,FALSE,FALSE
9t9u_yPEidY,190083,15015,11473,https://i.ytimg.com/vi/9t9u_yPEidY/default.jpg,FALSE,FALSE,FALSE
KODzih-pYlU,7250,217,456,https://i.ytimg.com/vi/KODzih-pYlU/default.jpg,FALSE,FALSE,FALSE
8NHA23f7LvU,16116,236,605,https://i.ytimg.com/vi/8NHA23f7LvU/default.jpg,FALSE,FALSE,FALSE
w0XYVssCKjw,5734,106,525,https://i.ytimg.com/vi/w0XYVssCKjw/default.jpg,FALSE,FALSE,FALSE
9XSULcLI6Hg,21,8,64,https://i.ytimg.com/vi/9XSULcLI6Hg/default.jpg,FALSE,FALSE,FALSE
pjuPpVLXDQg,89,8,22,https://i.ytimg.com/vi/pjuPpVLXDQg/default.jpg,FALSE,FALSE,FALSE
9xSx-5tmq44,8209,344,1062,https://i.ytimg.com/vi/9xSx-5tmq44/default.jpg,FALSE,FALSE,FALSE
4v0nOAzcG2A,10237,377,1016,https://i.ytimg.com/vi/4v0nOAzcG2A/default.jpg,FALSE,FALSE,FALSE
oTObwUiXdYY,52,13,68,https://i.ytimg.com/vi/oTObwUiXdYY/default.jpg,FALSE,FALSE,FALSE
1cgK-BIrXes,26917,1979,4998,https://i.ytimg.com/vi/1cgK-BIrXes/default.jpg,FALSE,FALSE,FALSE
ujyTQNNjjDU,115795,3055,6410,https://i.ytimg.com/vi/ujyTQNNjjDU/default.jpg,FALSE,FALSE,FALSE
PABlVzeldaM,493,54,347,https://i.ytimg.com/vi/PABlVzeldaM/default.jpg,FALSE,FALSE,FALSE
6340tX9M_eM,8231,413,970,https://i.ytimg.com/vi/6340tX9M_eM/default.jpg,FALSE,FALSE,FALSE
8mhTWqWlQzU,115426,1110,6541,https://i.ytimg.com/vi/8mhTWqWlQzU/default.jpg,FALSE,FALSE,FALSE
t4YAyT4ihIQ,120876,8279,6408,https://i.ytimg.com/vi/t4YAyT4ihIQ/default.jpg,FALSE,FALSE,FALSE
MNiweoKXwfg,203,6,33,https://i.ytimg.com/vi/MNiweoKXwfg/default.jpg,FALSE,FALSE,FALSE
Jw1Y-zhQURU,55681,10247,9479,https://i.ytimg.com/vi/Jw1Y-zhQURU/default.jpg,FALSE,FALSE,FALSE
2Vv-BfVoq4g,1634124,21082,85067,https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg,FALSE,FALSE,FALSE
UFYCTJlayS4,2233,187,255,https://i.ytimg.com/vi/UFYCTJlayS4/default.jpg,FALSE,FALSE,FALSE
cccyOn99s4Y,2978,147,243,https://i.ytimg.com/vi/cccyOn99s4Y/default.jpg,FALSE,FALSE,FALSE
abGCYPCk294,1550,109,1031,https://i.ytimg.com/vi/abGCYPCk294/default.jpg,FALSE,FALSE,FALSE
lY_0mkYDZDU,18603,585,1745,https://i.ytimg.com/vi/lY_0mkYDZDU/default.jpg,FALSE,FALSE,FALSE
k8NxqyGcZA4,2429,5381,2325,https://i.ytimg.com/vi/k8NxqyGcZA4/default.jpg,FALSE,FALSE,FALSE
IE-xepGLVt8,1896,74,260,https://i.ytimg.com/vi/IE-xepGLVt8/default.jpg,FALSE,FALSE,FALSE
ObIQ0s02UHg,37669,1732,1691,https://i.ytimg.com/vi/ObIQ0s02UHg/default.jpg,FALSE,FALSE,FALSE
cOc3tsFWoRs,15504,353,1084,https://i.ytimg.com/vi/cOc3tsFWoRs/default.jpg,FALSE,FALSE,FALSE
AJYb0Yom5UQ,355,47,178,https://i.ytimg.com/vi/AJYb0Yom5UQ/default.jpg,FALSE,FALSE,FALSE
gLswXiRLdkA,23296,1184,1858,https://i.ytimg.com/vi/gLswXiRLdkA/default.jpg,FALSE,FALSE,FALSE
MyEqfBkzESU,8133,2693,2911,https://i.ytimg.com/vi/MyEqfBkzESU/default.jpg,FALSE,FALSE,FALSE
wJYE0sFOteE,2323,40,134,https://i.ytimg.com/vi/wJYE0sFOteE/default.jpg,FALSE,FALSE,FALSE
L_5_slz4ke4,67,19,56,https://i.ytimg.com/vi/L_5_slz4ke4/default.jpg,FALSE,FALSE,FALSE
OKoL852K9uA,3571,278,399,https://i.ytimg.com/vi/OKoL852K9uA/default.jpg,FALSE,FALSE,FALSE
pa_oUisZZy0,6271,88,275,https://i.ytimg.com/vi/pa_oUisZZy0/default.jpg,FALSE,FALSE,FALSE
fNtLIcyjsnI,16430,945,1231,https://i.ytimg.com/vi/fNtLIcyjsnI/default.jpg,FALSE,FALSE,FALSE
_Iz83-Cmt6A,439,66,55,https://i.ytimg.com/vi/_Iz83-Cmt6A/default.jpg,FALSE,FALSE,FALSE
YlvCVbfS9M0,34839,537,2541,https://i.ytimg.com/vi/YlvCVbfS9M0/default.jpg,FALSE,FALSE,FALSE
arJ5h2TY3I4,82320,1279,7998,https://i.ytimg.com/vi/arJ5h2TY3I4/default.jpg,FALSE,FALSE,FALSE
-2RVw2_QyxQ,438,23,23,https://i.ytimg.com/vi/-2RVw2_QyxQ/default.jpg,FALSE,FALSE,FALSE
gEHCXl4J9Qo,72593,1830,3501,https://i.ytimg.com/vi/gEHCXl4J9Qo/default.jpg,FALSE,FALSE,FALSE
#NAME?,2282,35,17,https://i.ytimg.com/vi/-OK9i1_YYYc/default.jpg,FALSE,FALSE,FALSE
b4vTZx_AtHk,98804,11682,11443,https://i.ytimg.com/vi/b4vTZx_AtHk/default.jpg,FALSE,FALSE,FALSE
kOnQocd799Y,58967,3492,7915,https://i.ytimg.com/vi/kOnQocd799Y/default.jpg,FALSE,FALSE,FALSE
e4FApt6z55c,8599,361,930,https://i.ytimg.com/vi/e4FApt6z55c/default.jpg,FALSE,FALSE,FALSE
2XK4omx9uMU,40195,373,976,https://i.ytimg.com/vi/2XK4omx9uMU/default.jpg,FALSE,FALSE,FALSE
xfmipNU4Odc,16396,81,949,https://i.ytimg.com/vi/xfmipNU4Odc/default.jpg,FALSE,FALSE,FALSE
jp9hK-jY6yY,202676,3394,20086,https://i.ytimg.com/vi/jp9hK-jY6yY/default.jpg,FALSE,FALSE,FALSE
RkHuWjiR-LM,14338,171,1070,https://i.ytimg.com/vi/RkHuWjiR-LM/default.jpg,FALSE,FALSE,FALSE
fCTKDn3Q8xQ,43875,1326,4702,https://i.ytimg.com/vi/fCTKDn3Q8xQ/default.jpg,FALSE,FALSE,FALSE
DIU3xPdhCBI,22326,833,943,https://i.ytimg.com/vi/DIU3xPdhCBI/default.jpg,FALSE,FALSE,FALSE
wnwF1FHybDQ,1731,193,206,https://i.ytimg.com/vi/wnwF1FHybDQ/default.jpg,FALSE,FALSE,FALSE
9oFP-pOMNwE,3283,853,0,https://i.ytimg.com/vi/9oFP-pOMNwE/default.jpg,TRUE,FALSE,FALSE
pz95u3UVpaM,286268,4083,12254,https://i.ytimg.com/vi/pz95u3UVpaM/default.jpg,FALSE,FALSE,FALSE
g5c1bk8weaQ,307435,2573,12248,https://i.ytimg.com/vi/g5c1bk8weaQ/default.jpg,FALSE,FALSE,FALSE
yuBqWcSKrCk,3305,130,275,https://i.ytimg.com/vi/yuBqWcSKrCk/default.jpg,FALSE,FALSE,FALSE
x9mh-SwSKas,10138,153,639,https://i.ytimg.com/vi/x9mh-SwSKas/default.jpg,FALSE,FALSE,FALSE
uiA4B5Y63IQ,3327,142,377,https://i.ytimg.com/vi/uiA4B5Y63IQ/default.jpg,FALSE,FALSE,FALSE
viyRD5z6ilQ,5048,139,369,https://i.ytimg.com/vi/viyRD5z6ilQ/default.jpg,FALSE,FALSE,FALSE
QFfEtKvXMAs,53572,168,3083,https://i.ytimg.com/vi/QFfEtKvXMAs/default.jpg,FALSE,FALSE,FALSE
xg9ebVTL9yE,7999,84,612,https://i.ytimg.com/vi/xg9ebVTL9yE/default.jpg,FALSE,FALSE,FALSE
fbHbTBP_u7U,88417,1002,7686,https://i.ytimg.com/vi/fbHbTBP_u7U/default.jpg,FALSE,FALSE,FALSE
